"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity",
"https://cdnimg.webstaurantstore.com/images/products/medium/381969/1421849.jpg","http://ecx.images-amazon.com/images/I/51ET2mRq18L._SL75_.jpg","16  8432",0,0.0549,0,0.028873532011708,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/51fwBcoowtL._SL75_.jpg","16  8656",0,0.071,0,0.191048258281175,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/31g9PBRpoLL._SL75_.jpg","16  5744",0,0.0978,0,0.195526971776912,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/31g9PBRpoLL._SL75_.jpg","16  5744",0,0.0932,0,0.195526971776912,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/41619gRF6vL._SL75_.jpg","16  720",0,0.0749,0,0.272831652721528,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/516eEKsbFiL._SL75_.jpg","16  7056",0,0.0971,0,0.354058207260617,
"https://cdnimg.webstaurantstore.com/uploads/design/2014/1/blank.png","http://ecx.images-amazon.com/images/I/31hsa6kBAXL._SL75_.jpg","16  5936",0,0.0947,0,0.503883930662372,
"https://images.heb.com/is/image/HEBGrocery/snp-small/snipe-shsi.jpg","http://ecx.images-amazon.com/images/I/51l9WJeJirL._SL75_.jpg","16  16",0,0.0979,0,0.723718595274209,
"https://images.heb.com/is/image/HEBGrocery/snp-small/snipe-sgfv.jpg","http://ecx.images-amazon.com/images/I/51Px7CLktUL._SL75_.jpg","16  16",0,0.0121,0,0.963996536025955,
"https://images.heb.com/is/image/HEBGrocery/snp-small/snipe-sgfv.jpg","http://ecx.images-amazon.com/images/I/41hwusqXNEL._SL75_.jpg","16  16",0,0.0295,0,1,
"https://cdnimg.webstaurantstore.com/images/products/medium/198589/814647.jpg","http://ecx.images-amazon.com/images/I/31X9Mup4SJL._SL75_.jpg","16  16",0,0.0685,0,1,
"https://images.heb.com/is/image/HEBGrocery/snp-small/snipe-sgfv.jpg","http://ecx.images-amazon.com/images/I/51gG0vuyxjL._SL75_.jpg","16  16",0,0.0508,0,1,
"https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/217b8607-4827-4ee5-b193-18b518f60bf4?max=300&quality=40&_mzcb=_1541009222975","http://ecx.images-amazon.com/images/I/410z97f1byL._SL75_.jpg","400  2672",0.222222222222222,0.0779,0,0.237911509836632,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eddpezumbh0gnlxi6ymp.jpg","http://ecx.images-amazon.com/images/I/41Y76weBL1L._SL75_.jpg","16112  432",0.228,0.077,0,0,
"http://s7d2.scene7.com/is/image/academy/20120806?wid=250&hei=250","http://ecx.images-amazon.com/images/I/41IBxBwcXFL._SL75_.jpg","496  4624",0.25,0.0658,0,0,
"https://cdn-tp3.mozu.com/24484-36801/cms/36801/files/8f70a841-0cb0-4556-8d25-7729a3c4c56c?maxWidth=265&_mzcb=_1540419596020","http://ecx.images-amazon.com/images/I/4133Fua9VjL._SL75_.jpg","8464  3056",0.252873563218391,0.0976,0,0,
"https://mi3.rightinthebox.com/images/190x190/201810/gktrkr1539458086321.jpg","http://ecx.images-amazon.com/images/I/311VTJT3AiL._SL75_.jpg","11536  1136",0.274509803921569,0.0701,0,0.817903793094916,
