"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","matched",
"https://target.scene7.com/is/image/Target/GUEST_a82d1df2-ae24-4e0c-a45a-f1f576dbf869?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41LW1bux2GL._SL75_.jpg","15120  11600",0.353944562899787,0.0755,0,1,
"https://target.scene7.com/is/image/Target/GUEST_83eac486-eecf-4dd0-be8d-15f53ab53bae?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41meQABgx%2BL._SL75_.jpg","13040  5008",0.353960396039604,0.0993,0,1,
"https://target.scene7.com/is/image/Target/GUEST_d7531a2f-f83c-44d1-bd78-bdb0632b6b73?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61%2B-iX8ODPL._SL75_.jpg","16112  16112",0.354,0.113,0,1,
"https://target.scene7.com/is/image/Target/53862253?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41E43NhzXXL._SL75_.jpg","15632  8624",0.354639175257732,0.0966,0,1,
"https://target.scene7.com/is/image/Target/GUEST_70855f1b-637c-40e3-91e1-4aa2fd48ea0e?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51b%2BWjxlftL._SL75_.jpg","10384  15632",0.355140186915888,0.0644,0,1,
"https://target.scene7.com/is/image/Target/53438717?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51B443tKoEL._SL75_.jpg","13168  15152",0.355392156862745,0.0954,0,1,
"https://target.scene7.com/is/image/Target/GUEST_1154e266-8e99-4cf2-b69b-e219c4d054af?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51JHgwPA9oL._SL75_.jpg","15504  3312",0.357588357588358,0.0577,0,1,
"https://target.scene7.com/is/image/Target/GUEST_49b686bf-b61e-4dde-a3f0-1a83c3825954?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/3189q07wL4L._SL75_.jpg","6192  2672",0.357894736842105,0.1002,0,1,
"https://target.scene7.com/is/image/Target/GUEST_b81a64b3-777b-43f6-94c1-b29fe560c59e?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41lZxiBzecL._SL75_.jpg","14320  4912",0.358108108108108,0.0955,0,1,
"https://target.scene7.com/is/image/Target/53352707?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51qA226JuZL._SL75_.jpg","15632  5872",0.360824742268041,0.0764,0,1,
"https://target.scene7.com/is/image/Target/GUEST_ecfbc4b5-feb6-4c44-bc5b-c0d788d670c3?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61BBaThaYWL._SL75_.jpg","15600  14704",0.361570247933884,0.1053,0,1,
"https://target.scene7.com/is/image/Target/53404104?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51Cc7GJ7n3L._SL75_.jpg","16112  15728",0.364,0.0628,0,1,
"https://target.scene7.com/is/image/Target/GUEST_5c5e5a98-de44-4555-a4d8-f2ae2e688a4a?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31kJMP2fgUL._SL75_.jpg","3536  848",0.364485981308411,0.061,0,1,
"https://target.scene7.com/is/image/Target/53160334?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/414OmfspPiL._SL75_.jpg","14128  9808",0.365296803652968,0.0687,0,1,
"https://target.scene7.com/is/image/Target/53142906?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/417OBSP2QLL._SL75_.jpg","15088  8048",0.365384615384615,0.059,0,1,
"https://target.scene7.com/is/image/Target/53142510?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/619maHbgIEL._SL75_.jpg","16112  15952",0.366,0.0605,0,1,
"https://target.scene7.com/is/image/Target/53377395?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/61QzyHKDi3L._SL75_.jpg","15120  15632",0.366737739872068,0.1425,0,1,
"https://target.scene7.com/is/image/Target/GUEST_66a16d6d-034f-408f-b3d1-f1cdecc3b471?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51WP5jeVUQL._SL75_.jpg","16112  16112",0.368,0.2419,0,1,
"https://target.scene7.com/is/image/Target/GUEST_a2a9150b-15d9-4758-aa6c-3c25b14855af?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31-2DLcjbnL._SL75_.jpg","10512  6416",0.369230769230769,0.0413,0,1,
"https://target.scene7.com/is/image/Target/53316406?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/513GLYPPacL._SL75_.jpg","15792  15184",0.369387755102041,0.1118,0,1,
"https://target.scene7.com/is/image/Target/53316406?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/513GLYPPacL._SL75_.jpg","15792  15184",0.369387755102041,0.1118,0,1,
"https://target.scene7.com/is/image/Target/53092375?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51CPisrbukL._SL75_.jpg","15696  16112",0.369609856262834,0.0934,0,1,
"https://target.scene7.com/is/image/Target/53025244?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41pfd9P2nzL._SL75_.jpg","14288  11344",0.37020316027088,0.1241,0,1,
"https://target.scene7.com/is/image/Target/53025244?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41pfd9P2nzL._SL75_.jpg","14288  11344",0.37020316027088,0.1241,0,1,
"https://target.scene7.com/is/image/Target/GUEST_5e2190c4-81e3-400b-bbf5-fc67a82a7a1c?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51BSbZ5A8xL._SL75_.jpg","16016  16112",0.370221327967807,0.0776,0,1,
"https://target.scene7.com/is/image/Target/53693129?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51KeK2er33L._SL75_.jpg","11952  15728",0.37027027027027,0.0928,0,1,
"https://target.scene7.com/is/image/Target/51418754?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/41F2nM1ZIOL._SL75_.jpg","11952  3696",0.37027027027027,0.0309,0,1,
"https://target.scene7.com/is/image/Target/GUEST_f7f7d420-320b-4bb1-b8f6-ea682b16658d?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51nYcPiq4qL._SL75_.jpg","15984  13040",0.370967741935484,0.1293,0,1,
"https://target.scene7.com/is/image/Target/51647121?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41682jDgWZL._SL75_.jpg","15600  1648",0.371900826446281,0.098,0,1,
"https://target.scene7.com/is/image/Target/GUEST_095c6e94-a3e3-416d-accd-8da8a81a06a8?wid=325&hei=325&qlt=80&fmt=webp","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB1275522461_.gif","16112  15792",0.372,0.1305,0,1,
