similarity_result,distance,outsource,colorSimilarity
0,0.0593,0,0.444473108897161
0,0.0518,0,0.499481243762822
0,0.1,0,0.383566931963461
0,,0,0.383566931963461
0,,0,0.383566931963461
0,0.0853,0,0.335223261236009
0,,0,0.335223261236009
0,0.0617,0,0.314051904494517
0,0.0671,0,0.401478144975477
0,0.0617,0,0.484088552257712
0,0.0708,0,0.30842621922544
0,0.0851,0,0.390544819601608
0,0.0768,0,0.389895010468856
0,,0,0.283463030173732
0,0.0931,0,0.321836206209487
0,,0,0.321836206209487
0,0.0885,0,0.423687088566284
0,,0,0.423687088566284
0,0.0805,0,0.425898236976528
0,0.0701,0,0.315924750554807
0,0.0435,0,0.330811792171386
0,0.0412,0,0.277607284676671
0,0.0598,0,0.424254152607036
0,,0,0.424254152607036
0,,0,0.202073490474016
0,,0,0.202073490474016
0,0.0729,0,0.202073490474016
0,0.0977,0,0.438786795499346
0,0.0459,0,0.458012378802247
0,0.0681,0,0.528684975553718
0,0.0553,0,0.42566012010427
0,0.0759,0,0.300470214147307
0,0.0549,0,0.368793169774219
0,,0,0.319777324086081
0,0.0618,0,0.319777324086081
0,,0,0.359181931839145
0,,0,0.359181931839145
0,,0,0.359181931839145
0,,0,0.359181931839145
0,,0,0.359181931839145
0,0.0703,0,0.359181931839145
0,,0,0.359181931839145
0,,0,0.359181931839145
0,0.0776,0,0.48481568814639
0,0.0686,0,0.394142567583667
0,0,0,0
0,0.0328,0,0.389193861022135
0,0.0795,0,0
0,0.0822,0,0.731768679964592
0,0.0558,0,0.523945491433008
0,,0,0.559317544390064
0,0.0772,0,0.559317544390064
0,,0,0.559317544390064
0,0.0912,0,0.493708628038567
0,0.0462,0,0.663255635127629
0,0.0999,0,0.594057530521183
0,0.0933,0,0.451865053653816
0,0.0948,0,0.157323691019482
0,0.0635,0,0.468402344385336
0,,0,0.76692554715337
0,0.0786,0,0.76692554715337
0,,0,0.428382729544193
0,0.0377,0,0.428382729544193
0,0.0539,0,0.337038189523506
0,0.047,0,0.272359869019902
0,0.0921,0,0.321836205976748
0,0.0811,0,0.448873672874844
0,0.0702,0,0.257512481289333
0,0.0899,0,0.663375776581028
0,0.0631,0,0.518609029461238
0,0.0334,0,0.611069128257628
0,0.0855,0,0.490352401433707
0,0.0557,0,0.573438680291404
0,0.0865,0,0.756328682793678
0,0.0506,0,0.471069156181803
0,0.0657,0,0.794839704801479
0,0.0425,0,0.353184049237317
0,0.094,0,0.468332761034396
0,0.0336,0,0.382650122170161
0,,0,0.382650122170161
0,0.0757,0,0.71876700570393
0,0.0621,0,0.49519417585342
0,0.0873,0,0.28258641749215
0,0.0488,0,0.427216058990217
0,0.0298,0,0.610397858841078
0,0.0924,0,0.416352362519262
0,0.0991,0,0.82621956034055
0,0.098,0,0
0,,0,0
0,,0,0
0,0.0243,0,0.512051210763655
0,0.0415,0,0.45075595137524
0,0.0546,0,0.500366171915548
0,0.0598,0,0.437555746970735
0,0.045,0,0.202073487419353
0,0.045,0,0.202073487419353
0,0.0959,0,0.298596606703325
0,0.0959,0,0.298596606703325
0,0.0792,0,0.777648521879815
0,,0,0.725023002241646
0,0.0913,0,0.725023002241646
0,,0,0.404678614838004
0,0.0498,0,0.404678614838004
0,0.0715,0,0.701694924249498
0,0.0757,0,0.476328310261552
0,,0,0.476328310261552
0,0.0604,0,0.740554295065467
0,0.0656,0,0.61735430891692
0,0.0416,0,0.636437871397389
0,,0,0.636437871397389
0,,0,0.636437871397389
0,,0,0.502888771510702
0,,0,0.502888771510702
0,,0,0.502888771510702
0,,0,0.502888771510702
0,,0,0.21411044614259
0,0.0633,0,0.21411044614259
0,0.0659,0,0.502888771510702
0,,0,0.707106788635291
0,0.0849,0,0.707106788635291
0,0.0858,0,0.453901171759877
0,0.0709,0,0.390742170360466
0,0.0868,0,0.573855581845444
0,0.064,0,0.402673065995618
0,0.0911,0,0.406143617400424
0,0.0715,0,0.591417225005044
0,,0,0.591417225005044
0,0.0976,0,0.505132644049956
0,,0,0.505132644049956
0,0.0984,0,0.436275312946066
0,,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,0.0504,0,0.20773379050351
0,,0,0.20773379050351
0,,0,0.20773379050351
0,0.0443,0,0
0,0.0519,0,1
0,0.0816,0,0.270845555770429
0,0.0518,0,0
0,0.0859,0,0.295176338043079
0,0.0788,0,0.348659993807069
0,0.0972,0,0.362880794570576
0,0.041,0,0.518307388659252
0,0.0968,0,0.571335880942657
0,0.0821,0,0.346894164826677
0,0.0468,0,0.366025404484054
0,0.0639,0,0.34728412916064
0,0.0921,0,0
0,0.0596,0,0.386611236072692
0,,0,0.386611236072692
0,0.0499,0,0.580593642966945
0,,0,0.580593642966945
0,0.0225,0,1
0,0.0634,0,0.228495995214985
0,0.0976,0,0.313289085893833
0,0.0785,0,0.382366399215369
0,0.0373,0,0.301310278494477
0,0.0361,0,0
0,0.0484,0,0.232582664188566
0,,0,0.281644073230049
0,0.0759,0,0.202073488437344
0,0.0737,0,0.262774924546379
0,0.0856,0,0.223933492362706
0,,0,0.223933492362706
0,0.0397,0,0.285581985681596
0,0.0903,0,0.258347582522714
0,0.0887,0,0.504622640330778
0,0.0521,0,0
0,0.0967,0,0.416456477117391
0,,0,0.420677553620177
0,0.0544,0,0.420677553620177
0,0.0707,0,0.43394650381463
0,0.0408,0,0.39755613504943
0,0.0538,0,0.435866292894046
0,0.0487,0,0.381961308258455
0,0.0904,0,0.274924935350229
0,0.0806,0,0.391974396712788
0,0.0547,0,0.44242750602068
0,0.0534,0,0.41192000462783
0,0.065,0,0.414394476191787
0,0.0744,0,0.530964856423407
0,,0,0.399129206468054
0,0.0933,0,0.399129206468054
0,0.0801,0,0.438443201683915
0,0.0722,0,0.538979078028717
0,,0,0.737452355976124
0,0.0624,0,0.737452355976124
0,0.0532,0,0.417608754367225
0,0.0681,0,0.223643231545996
0,0.0589,0,0.382877608780853
0,,0,0.405994124168904
0,,0,0.405994124168904
0,0.0829,0,0.405994124168904
0,0.0809,0,0.322998596634461
0,0.0557,0,0.415728045048388
0,0.0383,0,0.454546089164827
0,0.0532,0,0.393547001815739
0,0.0756,0,0
0,0.0491,0,1
0,0.0276,0,0.824789608911685
0,0.0358,0,1
0,0.0684,0,0.252959737490282
0,0.076,0,0
0,0.0509,0,0.289804495901776
0,,0,0.251821737907474
0,0.0804,0,0.251821737907474
0,0.0895,0,0.169048356113027
0,0.0491,0,0.377560206605646
0,,0,0.377560206605646
0,0.0745,0,0.503348803732956
0,0.0704,0,0.386053177280435
0,0.0456,0,0.961003688080378
0,0.0699,0,0.531777288415993
0,0.0737,0,0.268401331680154
0,,0,0.200504470253981
0,0.0596,0,0.200504470253981
0,0.0877,0,0.445214860952995
0,0.0941,0,0.809616460543171
0,0.0694,0,0.164414205476588
0,0.0679,0,0.833363641211897
0,0.0523,0,0.20207348790761
0,0.0553,0,0
0,0.0464,0,0.506693530819234
0,0.0212,0,0
0,0.0411,0,1
0,0.0668,0,0.14214113926302
0,0.0816,0,0
0,,0,0
