"_index","_type","_id","_score","stateDeltaAsin","url"
"us-supplier-default-010","supplier-default","XRupxmQB03g8SKNL2rEJ",1.8962035,"https://www.amazon.com/dp/B01834ESHK","http://www.kohls.com/product/prd-1203960/avanti-rather-be-fishing-tissue-box.jsp?prdPV=62701"
"us-supplier-default-010","supplier-default","vvJyxmQB03g8SKNLRyaW",1.8962035,"https://www.amazon.com/dp/B00EZI5GZ2","https://www.toolbarn.com/vaughan-103-01.html/"
"us-supplier-default-010","supplier-default","4Q93xmQB-EKOAEcjkz4k",1.8609873,"https://www.amazon.com/dp/B078193SM7","https://www.everythingkitchens.com/all-clad-d5-brushed-stainless-steel-lid-10-inch-3910-nh.html"
"us-supplier-default-010","supplier-default","9gSJxmQB03g8SKNLQNK3",1.8609873,"https://www.amazon.com/dp/B016BDG82I","https://www.target.com/p/fisher-price-thomas-friends-trackmaster-shooting-star-gordon-engine/-/A-53285932"
"us-supplier-default-010","supplier-default","VRyqxmQB03g8SKNLGSfl",1.8609873,"https://www.amazon.com/dp/B076FDC2S6","http://www.kohls.com/product/prd-3204372/pj-masks-die-cast-playset.jsp?prdPV=56760"
"us-supplier-default-010","supplier-default","3Z1TJWYBJfnGO38sJyVz",1.8609873,"https://www.amazon.com/dp/B07HKXH5C4","http://www.biglots.com/product/christmas-truck-tree-table-runner-13-x-72-/p810394950?N=815208603&pos=1:57"
"us-supplier-default-010","supplier-default","KT7OzmUBJfnGO38slM5Q",1.8609873,"NULL","https://www.bettymills.com/laxative-senna-syrup-8-oz-q-451-08?referer=search"
"us-supplier-default-010","supplier-default","AMBBxmQB03g8SKNLybIi",1.8609873,"https://www.amazon.com/dp/B06XXL1RVS","http://www.webstaurantstore.com/32-oz-minced-garlic-in-water/999SPCG1007.html"
"us-supplier-default-010","supplier-default","IMZGxmQB03g8SKNLCUVa",1.8609873,"https://www.amazon.com/dp/B0015XI12A","https://www.boscovs.com/shop/prod/melissa-doug-magnetic-responsibility-chart/371791.htm"
"us-supplier-default-010","supplier-default","rQtyxmQB-EKOAEcjKK9B",1.8609873,"https://www.amazon.com/dp/B006LNBIH4","https://www.toolbarn.com/karcher-1-783-312-0.html/"
