Category.URL,Product.Count
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=kids-girls&start=48&sz=48&selectedUrl=https%3A%2F%2Fwww.c21stores.com%2Fon%2Fdemandware.store%2FSites-C21-Site%2Fdefault%2FSearch-UpdateGrid%3Fcgid%3Dkids-girls%26start%3D24%26sz%3D24,2297
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=kids-boys&start=48&sz=48&selectedUrl=https%3A%2F%2Fwww.c21stores.com%2Fon%2Fdemandware.store%2FSites-C21-Site%2Fdefault%2FSearch-UpdateGrid%3Fcgid%3Dkids-boys%26start%3D48%26sz%3D48,1385
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=kids-shoes&start=48&sz=48&selectedUrl=https%3A%2F%2Fwww.c21stores.com%2Fon%2Fdemandware.store%2FSites-C21-Site%2Fdefault%2FSearch-UpdateGrid%3Fcgid%3Dkids-shoes%26start%3D48%26sz%3D48,435
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-special-shops&start=48&sz=48,329
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-bath&start=48&sz=48,254
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-bedding&start=48&sz=48,579
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-dining-entertaining&start=48&sz=48,408
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-kitchen&start=48&sz=48,579
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-decorative-accessories&start=48&sz=48,546
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=home-more-for-the-home&start=48&sz=48,884
https://www.c21stores.com/on/demandware.store/Sites-C21-Site/default/Search-UpdateGrid?cgid=gifts-gift-cards&start=48&sz=48,34
