"categoryname","domain","item","nexturl","page","pageType","url"
"Update Food & Ice Scoops","www.katom.com",12,,12,"search","https://www.katom.com/cat/update-scoops.html"
"Update Whisks, French Whips, & Mixing Paddles","www.katom.com",22,,22,"search","https://www.katom.com/cat/update-whips.html"
"Update Spatulas & Wooden Spoons","www.katom.com",21,,21,"search","https://www.katom.com/cat/update-spatulas-spoons.html"
"Update Bun Cake & Baking Pans - KaTom","www.katom.com",17,,17,"search","https://www.katom.com/cat/update-bun-cake-pans.html"
"Update Colanders","www.katom.com",16,,16,"search","https://www.katom.com/cat/update-colanders.html"
"Update Strainers, Skimmers, & Baskets","www.katom.com",25,,42,"search","https://www.katom.com/cat/update-strainers-skimmers.html"
"Update Ladles","www.katom.com",25,,43,"search","https://www.katom.com/cat/update-ladles.html"
"Update Serving Spoons","www.katom.com",25,,47,"search","https://www.katom.com/cat/update-serving-spoons.html"
"Update Serving Forks","www.katom.com",9,,9,"search","https://www.katom.com/cat/update-serving-forks.html"
"Wells Warming Drawers","www.katom.com",21,,21,"search","https://www.katom.com/cat/wells-warming-drawer.html"
"Update Meat Tenderizers, Potato Mashers & Steak Weights","www.katom.com",8,,8,"search","https://www.katom.com/cat/update-mashers-meat-tenderizers-steak-weights.html"
"Update Stock Pots & Steamer Baskets","www.katom.com",25,,85,"search","https://www.katom.com/cat/update-stock-pots-steamer-baskets.html"
"Update Aprons, Oven Mitts & Pot Holders","www.katom.com",24,,24,"search","https://www.katom.com/cat/update-textiles.html"
