"_id","categoryname","domain","item","nexturl","page","pageType","url"
"5ccc63e69be2ab20a313ed5a","Blenders & Soup Makers","ao.com",12,"https://ao.com/l/blenders_and_soup_makers/1/55-92-133/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",6,"search","https://ao.com/l/blenders_and_soup_makers/1/55-92-133/"
"5ccc63e69be2ab20a313ed5b","Food Mixers","ao.com",12,"https://ao.com/l/food_mixers/1/55-92-128-69/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",5,"search","https://ao.com/l/food_mixers/1/55-92-128-69/"
"5ccc63e69be2ab20a313ed5c","Food Mixer Attachments","ao.com",12,"https://ao.com/l/food_mixer_attachments/1/55-92-128-134/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/food_mixer_attachments/1/55-92-128-134/"
"5ccc63e69be2ab20a313ed5d","Choppers & Grinders","ao.com",6,,0,"search","https://ao.com/l/choppers_and_grinders/1/55-92-74/"
"5ccc63e69be2ab20a313ed5e","Mini ovens & Hobs","ao.com",8,,0,"search","https://ao.com/l/mini_ovens_and_hobs/1/55-94-87/"
"5ccc63e69be2ab20a313ed5f","Bread Makers","ao.com",10,,0,"search","https://ao.com/l/bread_makers/1/55-94-96/"
"5ccc63e69be2ab20a313ed61","Steamers","ao.com",9,,0,"search","https://ao.com/l/steamers/1/55-94-98/"
"5ccc63e69be2ab20a313ed62","Fryers","ao.com",13,"https://ao.com/l/fryers/1/55-94-97/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/fryers/1/55-94-97/"
"5ccc63e69be2ab20a313ed64","Toasters","ao.com",12,"https://ao.com/l/toasters/1/55-106-79/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",15,"search","https://ao.com/l/toasters/1/55-106-79/"
"5ccc63e69be2ab20a313ed65","Irons","ao.com",12,"https://ao.com/l/irons/1/55-102-76/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",5,"search","https://ao.com/l/irons/1/55-102-76/"
"5ccc63e69be2ab20a313ed67","Electric Blankets","ao.com",4,,0,"search","https://ao.com/l/electric_blankets/1/55-143-151/"
"5ccc63e69be2ab20a313ed68","Radiators","ao.com",13,"https://ao.com/l/radiators/1/55-143-153/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/radiators/1/55-143-153/"
"5ccc63e69be2ab20a313ed69","Heaters","ao.com",12,"https://ao.com/l/heaters/1/55-143-152/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/heaters/1/55-143-152/"
