"url","page"
"https://www.base.com/games/switch/pg735/bn10008264/products.htm?filter=a%3a525%3a375663",1
"https://www.base.com/games/switch/pg735/bn10008264/products.htm?filter=a%3a525%3a375664",1
"https://www.base.com/games/switch/pg735/bn10008264/products.htm?filter=a%3a525%3a375665",1
"https://www.base.com/games/switch/pg735/bn10008264/products.htm?filter=a%3a525%3a375666",1
"https://www.base.com/games/xbox-one/bestseller/pg735/bn10006070/games.htm?link=dropdownmenu",22
"https://www.base.com/games/xbox-one/comingsoon/pg735/bn10006070/pre-order.htm?link=dropdownmenu",3
"https://www.base.com/games/xbox-one/current/pg735/bn10006070/new-releases.htm?link=dropdownmenu",2
"https://www.base.com/games/xbox360/all/pg735/bn100250/games.htm",13
"https://www.base.com/games/xbox360/all/pg735/bn100250/games.htm?filter=a%3a523%3a375630",1
"https://www.base.com/games/xbox360/all/pg735/bn100250/games.htm?filter=a%3a523%3a375632",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm",35
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384111",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384112",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384114",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384115",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384116",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384117",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384118",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384119",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a558%3a384120",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384181%2ca%3a560%3a384183",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384184",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384186",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384187%2ca%3a560%3a384188%2ca%3a560%3a384185",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384189%2ca%3a560%3a384178",1
"https://www.base.com/lighting/pg735/bn10008407/default.htm?filter=a%3a560%3a384190%2ca%3a560%3a384179",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a12%3a260050",5
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377625",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626",5
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377629",2
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377630",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377631",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377632",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377633",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377626%2ca%3a531%3a377634",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627",7
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377635",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377636",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377637",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377638",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377639",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377627%2ca%3a532%3a377640",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377628",1
"https://www.base.com/memory-and-storage/pg735/bn10007666/default.htm?filter=a%3a530%3a377628%2ca%3a533%3a377641",1
