"Category URL"",""Category Name"",""First Page"",""Last Page"",""Source Domain"",""Product Count"
"https://www.very.co.uk/electricals/e/b/4739,5615.end;jsessionid=7KAgJC9-9_Fu5fEGWgMOoGczS9W7aA1_l5iGTIqBC1ywex5u1KbI!1842225389"",""Electricals > Latest Offers"",""1"",""146"",""very.co.uk"",""1751"
"https://www.very.co.uk/gifts-jewellery/for-him/e/b/21027,4934.end;jsessionid=BfogGmxyfQd7Pj2Ck_CpTVSbiMFtPqFnlmWLSY-MfHodumwsWYZI!-1758766344"",""For Him > Gifts & Jewellery"",""1"",""142"",""very.co.uk"",""1702"
"https://www.very.co.uk/toys/7-9-years/e/b/22113,5132.end;jsessionid=D1wf6x9YpbQZEb9gK3ipa0X-U2bBe3jL6weQIlA3ts8HpaWXAlN5!-1807005498"",""7-9 Years > Toys"",""1"",""141"",""very.co.uk"",""1682"
"https://www.very.co.uk/toys/5-6-years/e/b/22112,5132.end;jsessionid=Q3Af6yKVZkJxpXxBszAWSZTv-op4cBlvEiT0AEU8VbSkfUyiGqNv!688691106"",""5-6 Years > Toys"",""1"",""140"",""very.co.uk"",""1678"
"https://www.very.co.uk/men/e/b/1977/promo/holiday-shop-view-all.end;jsessionid=8mYf2qRY8fAi2p_8A-b_PrJ58TkUlFL7QpuSYJTKghlAr4-WkhBa!1139469730"",""Men"",""1"",""137"",""very.co.uk"",""1636"
"https://www.very.co.uk/child-baby/girls-clothes/e/b/2325.end;jsessionid=0Hcf6v6ICPsjwA6t1YD956Ce9AjfBhe8aQRFocUF-Dy5kzeBt4uz!-983686729"",""Child & Baby > Girls Clothes"",""1"",""135"",""very.co.uk"",""1610"
"https://www.very.co.uk/child-baby/e/b/2249/promo/cf-promo.end;jsessionid=X64f6eOwKuIaSG1VKioux-GNwt2gD6D3QbtJOuyN0uUtPPD2f60W!-659677761?sort=newin,0"",""Child & Baby"",""1"",""132"",""very.co.uk"",""1584"
"https://www.very.co.uk/child-baby/boys-clothes/e/b/2278.end;jsessionid=Grcf6tni_ro3z4FwdMp5V22VNyXforbIinqbs7Xb7IrCZ5Je2cJ-!-1179206669"",""Child & Baby > Boys Clothes"",""1"",""130"",""very.co.uk"",""1557"
"https://www.very.co.uk/very-exclusive/e/b/121990/promo/v-e-sale.end;jsessionid=c4of0Mc4maYKCOrfAov5OsETUQEykC6HHPyA_JWJBQeXlCucKpcd!-1750440739"",""Very Exclusive"",""1"",""119"",""very.co.uk"",""1419"
"https://www.very.co.uk/very-exclusive/e/b/121990,5615.end;jsessionid=WiwgJHKd7KMSXO7-1IL5vHYPZX-eNuzaMrAYIr7qQRgbe2MMNInJ!1228940251"",""Very Exclusive > Latest Offers"",""1"",""118"",""very.co.uk"",""1412"
"https://www.very.co.uk/sports-leisure/nike/e/b/175,2780.end;jsessionid=4jkgBzwd3F3H5jCljrJUcmfAo9Ahhu_PfPeUJg_26-xi4aWZtU73!1902637401"",""Nike > Sports & Leisure"",""1"",""115"",""very.co.uk"",""1371"
"https://www.very.co.uk/toys/3-4-years/e/b/22111,5132.end;jsessionid=oJsf6yiH69iIEUQAt2i4dPJguX9ClGRbvhv1xqjFWV-VUEw5A6aC!252176644"",""3-4 Years > Toys"",""1"",""114"",""very.co.uk"",""1360"
