"Category URL"",""Category Name"",""First Page"",""Last Page"",""Source Domain"",""Product Count"
"https://www.shop.bt.com/category/print-and-office,printers-and-scanners,ink-and-toners/11116"",""Print & Office > Printers & Scanners > Ink & Toners"",""1"",""218"",""shop.bt.com"",""2175"
"https://www.shop.bt.com/category/cables-and-adapters,cables,networking-cables-/11287"",""Cables & Adapters > Cables > Networking Cables"",""1"",""163"",""shop.bt.com"",""1629"
"https://www.shop.bt.com/category/cables-and-adapters,cables,av-cables/11285"",""Cables & Adapters > Cables > AV Cables"",""1"",""87"",""shop.bt.com"",""861"
"https://www.shop.bt.com/category/computing,laptops-and-tablets,accessories/11106"",""Computing > Laptops & Tablets > Accessories"",""1"",""78"",""shop.bt.com"",""771"
"https://www.shop.bt.com/category/cables-and-adapters,cables,external-cables/11299"",""Cables & Adapters > Cables > External Cables"",""1"",""72"",""shop.bt.com"",""717"
"https://www.shop.bt.com/category/computing,desktops-and-monitors,monitors/11109"",""Computing > Desktops & Monitors > Monitors"",""1"",""57"",""shop.bt.com"",""563"
"https://www.shop.bt.com/category/components-and-storage,memory,generic-memory/11150"",""Components & Storage > Memory > Generic Memory"",""1"",""56"",""shop.bt.com"",""551"
"https://www.shop.bt.com/category/computing,smartphones-and-wearables,accessories/11108"",""Computing > Smartphones & Wearables > Accessories"",""1"",""54"",""shop.bt.com"",""539"
"https://www.shop.bt.com/category/computing,pc-peripherals,headsets-and-headphones/11123"",""Computing > PC Peripherals > Headsets & Headphones"",""1"",""47"",""shop.bt.com"",""461"
"https://www.shop.bt.com/category/computing,desktops-and-monitors,desktop-pcs/11101"",""Computing > Desktops & Monitors > Desktop PCs"",""1"",""44"",""shop.bt.com"",""437"
"https://www.shop.bt.com/category/components-and-storage,memory,desktop-memory/15058"",""Components & Storage > Memory > Desktop Memory"",""1"",""43"",""shop.bt.com"",""424"
"https://www.shop.bt.com/category/cables--power-and-adaptors,adaptors-and-gender-changers,adaptors/11282"",""Cables & Adapters > Adaptors & Gender Changers > Adaptors"",""1"",""43"",""shop.bt.com"",""430"
"https://www.shop.bt.com/category/computing,laptops-and-tablets,laptops/11105"",""Computing > Laptops & Tablets > Laptops"",""1"",""43"",""shop.bt.com"",""421"
"https://www.shop.bt.com/category/components-and-storage,hard-drives,nas---network-attached-storage/11272"",""Components & Storage > Hard Drives > NAS / Network Attached Storage"",""1"",""41"",""shop.bt.com"",""408"
"https://www.shop.bt.com/category/networking,network-devices,accessories-and-modules/11182"",""Networking > Network Devices > Accessories & Modules"",""1"",""36"",""shop.bt.com"",""359"
"https://www.shop.bt.com/category/computing,pc-peripherals,keyboards-and-mice/11117"",""Computing > PC Peripherals > Keyboards & Mice"",""1"",""30"",""shop.bt.com"",""294"
"https://www.shop.bt.com/category/print-and-office,printers-and-scanners,printers-and-multifunction/11113"",""Print & Office > Printers & Scanners > Printers & Multifunction"",""1"",""29"",""shop.bt.com"",""281"
"https://www.shop.bt.com/category/networking,routers-and-switches,switches/11305"",""Networking > Routers & Switches > Switches"",""1"",""27"",""shop.bt.com"",""267"
"https://www.shop.bt.com/category/components-and-storage,hard-drives,internal-hard-drives/11154"",""Components & Storage > Hard Drives > Internal Hard Drives"",""1"",""21"",""shop.bt.com"",""205"
"https://www.shop.bt.com/category/networking,network-devices,network-interface-cards/11175"",""Networking > Network Devices > Network Interface Cards"",""1"",""20"",""shop.bt.com"",""200"
"https://www.shop.bt.com/category/computing,smartphones-and-wearables,smartphones/11277"",""Computing > Smartphones & Wearables > Smartphones"",""1"",""19"",""shop.bt.com"",""188"
"https://www.shop.bt.com/category/print-and-office,presentation,projector-lamps-/11273"",""Print & Office > Presentation > Projector Lamps"",""1"",""19"",""shop.bt.com"",""189"
"https://www.shop.bt.com/category/components-and-storage,hard-drives,external-hard-drives/11157"",""Components & Storage > Hard Drives > External Hard Drives"",""1"",""17"",""shop.bt.com"",""168"
"https://www.shop.bt.com/category/components-and-storage,hard-drives,ssd---solid-state-drives/11319"",""Components & Storage > Hard Drives > SSD / Solid State Drives"",""1"",""17"",""shop.bt.com"",""166"
"https://www.shop.bt.com/category/electronics,telephony,bt-phone-books/11265"",""Electronics > Telephony > BT Phone Books"",""1"",""17"",""shop.bt.com"",""168"
"https://www.shop.bt.com/category/print-and-office,printers-and-scanners,accessories/11115"",""Print & Office > Printers & Scanners > Accessories"",""1"",""17"",""shop.bt.com"",""167"
"https://www.shop.bt.com/category/computing,pc-peripherals,accessories/11121"",""Computing > PC Peripherals > Accessories"",""1"",""16"",""shop.bt.com"",""153"
"https://www.shop.bt.com/category/computing,laptops-and-tablets,tablets/11313"",""Computing > Laptops & Tablets > Tablets"",""1"",""15"",""shop.bt.com"",""142"
"https://www.shop.bt.com/category/print-and-office,presentation,projectors/11110"",""Print & Office > Presentation > Projectors"",""1"",""14"",""shop.bt.com"",""134"
"https://www.shop.bt.com/category/cables-and-adapters,power,batteries-and-chargers/11247"",""Cables & Adapters > Power > Batteries & Chargers"",""1"",""14"",""shop.bt.com"",""131"
"https://www.shop.bt.com/category/components-and-storage,memory,laptop-memory/15059"",""Components & Storage > Memory > Laptop Memory"",""1"",""13"",""shop.bt.com"",""125"
"https://www.shop.bt.com/category/components-and-storage,other-drives--optical--usb-,usb--memory-sticks/11152"",""Components & Storage > Other Drives (Optical, USB) > USB  Memory Sticks"",""1"",""13"",""shop.bt.com"",""125"
"https://www.shop.bt.com/category/networking,smart-home,security/11317"",""Networking > Smart Home > Security"",""1"",""13"",""shop.bt.com"",""124"
